Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
Australie;6462;63;2355;0.97;36.44;62.58
Canada;28253;1010;8979;3.57;31.78;64.64
Suisse;26359;1254;15400;4.76;58.42;36.82
Chili;8273;94;2937;1.14;35.50;63.36
Cameroun;848;17;165;2.00;19.46;78.54
Chine;82340;3342;77901;4.06;94.61;1.33
Allemagne;134753;3804;77000;2.82;57.14;40.04
Espagne;182816;19130;74797;10.46;40.91;48.62
France;147863;17167;30955;11.61;20.93;67.46
Royaume-Uni;99385;12894;266;12.97;0.27;86.76
Gambie;9;1;2;11.11;22.22;66.67
Iran;77995;4869;52229;6.24;66.96;26.79
Italie;165155;21645;38092;13.11;23.06;63.83
Japon;8626;178;901;2.06;10.45;87.49
Liban;663;21;85;3.17;12.82;84.01
Mali;148;13;34;8.78;22.97;68.24
Mauritanie;7;1;2;14.29;28.57;57.14
Namibie;16;0;3;0.00;18.75;81.25
Seychelles;11;0;0;0.00;0.00;100.00
Syrie;33;2;5;6.06;15.15;78.79
Tchad;27;0;5;0.00;18.52;81.48
Tunisie;780;35;43;4.49;5.51;90.00
Ã‰tats-Unis;639664;30985;52738;4.84;8.24;86.91
Cap-vert;56;1;1;1.79;1.79;96.43
Liban;658;21;85;3.19;12.92;83.89
Libye;48;1;9;2.08;18.75;79.17
Maroc;2024;127;229;6.27;11.31;82.41
